ISBN	题名/责任者	出版项	索书号	馆藏位置	
978-7-5594-0948-5	"反焦虑思维 / (美) 罗尔·克肖, 比尔·韦德著; 方一雲译"	"南京: 江苏凤凰文艺出版社, 2017"	B842.6-49/27	第一书库（综合图书馆）	
978-7-308-16988-2	"灵魂之尘== Soul dust: 意识的魔法 / (英) 尼古拉斯·汉弗莱著; 李恒威, 杨岸婷, 李恒熙译 eng"	"杭州: 浙江大学出版社, 2017"	B842.7/13	第一书库（综合图书馆）	
978-7-04-048380-2	新编大学生心理健康教育与训练 / 主编何少颖	"北京: 高等教育出版社, 2017"	B844.2/158	第一书库（综合图书馆）	
978-7-5189-2697-8	"老年心理学 / 主编高焕民, 李丽梅"	"北京: 科学技术文献出版社, 2017"	B844.4/15	第一书库（综合图书馆）	
978-7-5086-6709-6	"让人生停止灰暗的艺术: 变消极为积极的13个思维开关 / (西) 拉斐尔·桑坦德雷乌著== Ei arte de no amargarse la vida: las claves del cambio psicologico y la transformaclon personal / Refael Santandreu; 龚贻, 徐国柱译 spa"	"北京: 中信出版集团股份有限公司, 2017"	B84-49/80	第一书库（综合图书馆）	
978-7-5354-9202-9	她想要月亮== Ta deuxieme vie commence quand tu comprends que tu n'en as qu'une / 拉斐尔·吉奥达诺著; 王妙姗译 eng	"武汉: 长江文艺出版社, 2017"	B84-49/81	第一书库（综合图书馆）	
978-7-5596-0443-9	心理韧性的力量 / (美) 道格·亨施著; 李进林译	"北京: 北京联合出版公司, 2017"	B84-49/82	第一书库（综合图书馆）	
978-7-5404-7671-7	梦的解析== The interpretation of dreams: 一个终于可以读懂的中文译文 / (奥) 弗洛伊德著; 三月半译 eng	"长沙: 湖南文艺出版社, 2016"	B845.1/18	第一书库（综合图书馆）	
978-7-213-08026-5	死后的世界: 生命不息 / (美) 雷蒙德·穆迪著== Life after life: the investigation of phenomena survival of bodily death / Raymond A. Moody; 林宏涛译 eng	"杭州: 浙江人民出版社, 2017"	B845.9/1	第一书库（综合图书馆）	
978-7-213-08125-5	"发现天赋的15个训练方法 / (英) 肯·罗宾逊, (美) 卢·阿罗尼卡著== Finding your element / Ken Robinson, Lou Aronica; 李慧中译 eng"	"杭州: 浙江人民出版社, 2017"	B848.2/14	第一书库（综合图书馆）	
978-7-5142-1731-5	嗜好心理学 / (英) 理查德·史蒂芬著== Black sheep: the hidden benefits of being bad / Richard Stephens; 闾佳译 eng	"北京: 文化发展出版社, 2017"	B848.3/2	第一书库（综合图书馆）	
978-7-5498-3115-9	最怕你一事无成，还安慰自己尚且年轻 / 《意林》编辑部编	"长春: 吉林摄影出版社, 2017"	B848.4/737	第一书库（综合图书馆）	
978-7-5086-7251-9	7-Eleven工作法: 为你的工作注入动力 / (日) 铃木敏文著; (日) 胜见明编; 袁光译	"北京: 中信出版集团, 2017"	B848.4/738	第一书库（综合图书馆）	
978-7-5139-1617-2	职场必修课: 选择一种工作就是选择了一种生活 / 黄志坚编著	"北京: 民主与建设出版社, 2017"	B848.4/739	第一书库（综合图书馆）	
978-7-5086-7505-3	好好工作 好好生活 如何在工作与生活中达到最佳状态 / (美)克里斯汀·卡特著 / (美) Christine Carter; 靳婷婷译	"北京: 中信出版社, 2017"	B848.4/740	第一书库（综合图书馆）	
978-7-300-23922-4	成功的要素: 打破失败定式的16条法则 / (美) 西蒙·雷诺兹著== Why prople fail: the 16 obstacles to success and how you can overcome them / Simon Reynolds; 万丽译 eng	"北京: 中国人民大学出版社, 2017"	B848.4/741	第一书库（综合图书馆）	
978-7-301-28222-9	"秘密全集: 世界上神奇的潜能开发训练 / (美) 拉尔夫·沃尔多·特赖因, 华莱士·德洛伊斯·沃特尔斯, 查尔斯·弗朗西斯·哈柰尔著; 李中, 任剑, 赵彩虹编译"	"北京: 北京大学出版社, 2017"	B848.4/742	第一书库（综合图书馆）	
978-7-210-09367-1	"这个世界, 没有所谓的怀才不遇 / (美) 奥里森·马登著; 静涛编译"	"南昌: 江西人民出版社, 2017"	B848.4/743	第一书库（综合图书馆）	
978-7-5682-4037-6	"心理韧性== Developing mental toughness: 内心强大的终极秘密 / (英) 道格·斯特里查吉克, 彼得·克劳夫著; 周义斌, 蒋苾菁, 陈霖婷译 eng"	"北京: 北京理工大学出版社, 2017"	B848.4-49/193	第一书库（综合图书馆）	
978-7-5142-1814-5	从三分钟热度到一万个小时 / (美) 玛格丽特·罗宾丝婷著; 刘怡女译	"北京: 文化发展出版社, 2017"	B848.4-49/194	第一书库（综合图书馆）	
978-7-5596-0614-3	重塑幸福: 如何活成你想要的模样 / (美) 马克·曼森著== A counterintuitive approach to living a good life / Mark Manson; 舒建广译 eng	"北京: 北京联合出版社, 2017"	B848.4-49/195	第一书库（综合图书馆）	
978-7-5086-7309-7	意志力: 关于自控、专注和效率的心理学 / (美) 罗伊·鲍迈斯特，约翰·蒂尔尼著==Willpower :Rediscovering the Greatest Human Sterngth; 丁丹译 eng	"北京: 中信出版社, 2017"	B848.4-49/196	第一书库（综合图书馆）	
978-7-210-09248-3	"硬派工作: 以压倒性努力正面突破困境 / (日) 见城彻, 藤田晋著; 程亮译"	"南昌: 江西人民出版社, 2017"	B848.4-49/197	第一书库（综合图书馆）	
978-7-5155-1507-6	品味 / (美) 奥里森·斯威特·马登著== Be good to yourself / Orison Swett Marden; 江利译 eng	"北京: 金城出版社, 2017"	B848.4-49/198	第一书库（综合图书馆）	
978-7-5596-0384-5	色界: 和谁都能聊得来 / 乐嘉主编	"北京: 北京联合出版公司, 2017"	B848.6/80	第一书库（综合图书馆）	
